"","reference_date","location","relative_horizon","wis.x","wis.y","abbreviation","location_name","population","diff","diff_pop"
"1",2021-07-10,"01",1,4.86652173913044,7.99689130434782,"AL","Alabama",4903185,-3.13036956521739,-0.0638435948310616
"2",2021-07-10,"01",2,5.06826086956522,13.3263565555873,"AL","Alabama",4903185,-8.2580956860221,-0.168423090012351
"3",2021-07-10,"01",3,7.45260869565217,18.1464733303637,"AL","Alabama",4903185,-10.6938646347116,-0.218100370161671
"4",2021-07-10,"01",4,23.4134782608696,28.3370753308185,"AL","Alabama",4903185,-4.92359706994895,-0.100416302259632
"5",2021-07-10,"02",1,0.500434782608696,0.811521739130435,"AK","Alaska",731545,-0.31108695652174,-0.042524650776335
"6",2021-07-10,"02",2,0.692173913043478,1.47050142377511,"AK","Alaska",731545,-0.77832751073163,-0.106395028430463
"7",2021-07-10,"02",3,1.39608695652174,2.08162534860131,"AK","Alaska",731545,-0.685538392079572,-0.0937110351488387
"8",2021-07-10,"02",4,3.71304347826087,3.25148321785392,"AK","Alaska",731545,0.46156026040695,0.0630938985854527
"9",2021-07-10,"04",1,7.4095652173913,13.2487217391304,"AZ","Arizona",7278717,-5.83915652173913,-0.0802223320640043
"10",2021-07-10,"04",2,7.66217391304348,19.0038705477055,"AZ","Arizona",7278717,-11.341696634662,-0.155819997324556
"11",2021-07-10,"04",3,10.5504347826087,24.5148440240055,"AZ","Arizona",7278717,-13.9644092413968,-0.19185261964982
"12",2021-07-10,"04",4,43.3091304347826,40.0076169531913,"AZ","Arizona",7278717,3.30151348159133,0.0453584537163806
"13",2021-07-10,"05",1,5.28478260869565,6.16375652173913,"AR","Arkansas",3017804,-0.878973913043477,-0.0291262756972778
"14",2021-07-10,"05",2,11.0839130434783,12.428970078179,"AR","Arkansas",3017804,-1.34505703470078,-0.0445707221112034
"15",2021-07-10,"05",3,35.4008695652174,31.1728155218074,"AR","Arkansas",3017804,4.22805404341003,0.140103666222526
"16",2021-07-10,"05",4,83.08,63.7819841917115,"AR","Arkansas",3017804,19.2980158082885,0.639472139618361
"17",2021-07-10,"06",1,16.3317391304348,42.3984456521739,"CA","California",39512223,-26.0667065217391,-0.0659712477370335
"18",2021-07-10,"06",2,57.2708695652174,82.5277413467179,"CA","California",39512223,-25.2568717815005,-0.0639216674331397
"19",2021-07-10,"06",3,42.8495652173913,83.5514470517315,"CA","California",39512223,-40.7018818343402,-0.103010862826777
"20",2021-07-10,"06",4,48.3126086956522,94.9547883803186,"CA","California",39512223,-46.6421796846665,-0.118044939371461
"21",2021-07-10,"08",1,3.16869565217391,6.83460434782609,"CO","Colorado",5758736,-3.66590869565217,-0.063658217630608
"22",2021-07-10,"08",2,4.8695652173913,10.8495312623996,"CO","Colorado",5758736,-5.97996604500827,-0.103841642419591
"23",2021-07-10,"08",3,9.74652173913043,14.8793667054714,"CO","Colorado",5758736,-5.13284496634097,-0.0891314511785394
"24",2021-07-10,"08",4,14.1160869565217,18.0649972451246,"CO","Colorado",5758736,-3.94891028860288,-0.0685725181463933
"25",2021-07-10,"09",1,0.870869565217391,3.14453043478261,"CT","Connecticut",3565287,-2.27366086956522,-0.0637721695214219
"26",2021-07-10,"09",2,0.992173913043478,6.00876250671202,"CT","Connecticut",3565287,-5.01658859366854,-0.140706445053892
"27",2021-07-10,"09",3,2.1204347826087,8.55527461028958,"CT","Connecticut",3565287,-6.43483982768089,-0.180485885923935
"28",2021-07-10,"09",4,1.01260869565217,10.3386793591849,"CT","Connecticut",3565287,-9.32607066353274,-0.261579801669059
"29",2021-07-10,"10",1,0.668260869565217,1.1355037565593,"DE","Delaware",973764,-0.467242886994087,-0.0479831752862179
"30",2021-07-10,"10",2,0.806521739130435,1.53831753530579,"DE","Delaware",973764,-0.731795796175354,-0.0751512477535988
"31",2021-07-10,"10",3,129.225217391304,118.883251101728,"DE","Delaware",973764,10.3419662895759,1.06206085761806
"32",2021-07-10,"10",4,0.928260869565217,2.33305052552699,"DE","Delaware",973764,-1.40478965596178,-0.144263872556572
"33",2021-07-10,"12",1,19.1882608695652,34.1078391304348,"FL","Florida",21477737,-14.9195782608696,-0.0694653177886924
"34",2021-07-10,"12",2,42.1930434782609,58.5939470683837,"FL","Florida",21477737,-16.4009035901229,-0.076362344832339
"35",2021-07-10,"12",3,122.185217391304,128.989260730977,"FL","Florida",21477737,-6.8040433396725,-0.0316795169792446
"36",2021-07-10,"12",4,309.845652173913,277.473646410594,"FL","Florida",21477737,32.3720057633186,0.15072354114085
"37",2021-07-10,"13",1,10.7595652173913,17.8570847826087,"GA","Georgia",10617423,-7.09751956521739,-0.066847855314961
"38",2021-07-10,"13",2,7.08434782608696,19.8138728290544,"GA","Georgia",10617423,-12.7295250029674,-0.119892793222681
"39",2021-07-10,"13",3,9.19086956521739,24.8406621066863,"GA","Georgia",10617423,-15.6497925414689,-0.147397278430641
"40",2021-07-10,"13",4,42.4865217391304,41.8534892542186,"GA","Georgia",10617423,0.633032484911844,0.00596220462264567
"41",2021-07-10,"15",1,0.606521739130435,0.857686660888348,"HI","Hawaii",1415872,-0.251164921757913,-0.0177392392644189
"42",2021-07-10,"15",2,0.724782608695652,1.26870032537282,"HI","Hawaii",1415872,-0.543917716677167,-0.0384157407362507
"43",2021-07-10,"15",3,4.22347826086956,3.43864016661906,"HI","Hawaii",1415872,0.784838094250507,0.0554314298362074
"44",2021-07-10,"15",4,0.996956521739131,2.07628599449038,"HI","Hawaii",1415872,-1.07932947275125,-0.0762307237342957
"45",2021-07-10,"16",1,1.14869565217391,1.92643043478261,"ID","Idaho",1787065,-0.777734782608695,-0.043520229124777
"46",2021-07-10,"16",2,1.45,3.00058408390606,"ID","Idaho",1787065,-1.55058408390606,-0.0867670780808788
"47",2021-07-10,"16",3,2.94652173913044,4.15628549735497,"ID","Idaho",1787065,-1.20976375822454,-0.0676955655348035
"48",2021-07-10,"16",4,7.17130434782609,6.19074288532016,"ID","Idaho",1787065,0.98056146250593,0.0548699382790178
"49",2021-07-10,"17",1,9.17913043478261,13.9012217391304,"IL","Illinois",12671821,-4.72209130434783,-0.0372645044808306
"50",2021-07-10,"17",2,5.28565217391304,20.4129749457277,"IL","Illinois",12671821,-15.1273227718147,-0.119377655127978
"51",2021-07-10,"17",3,6.12391304347826,25.2973628898028,"IL","Illinois",12671821,-19.1734498463245,-0.151307770574762
"52",2021-07-10,"17",4,15.3160869565217,30.0488515380154,"IL","Illinois",12671821,-14.7327645814937,-0.116263989062769
"53",2021-07-10,"18",1,8.12869565217391,14.4979673913043,"IN","Indiana",6732219,-6.36927173913043,-0.0946088019289098
"54",2021-07-10,"18",2,7.4804347826087,16.3909962730932,"IN","Indiana",6732219,-8.91056149048446,-0.132356976065165
"55",2021-07-10,"18",3,4.56217391304348,15.7217344768448,"IN","Indiana",6732219,-11.1595605638013,-0.165763481012743
"56",2021-07-10,"18",4,7.17347826086956,17.5408421700956,"IN","Indiana",6732219,-10.3673639092261,-0.153996236741943
"57",2021-07-10,"19",1,1.56130434782609,4.01939347826087,"IA","Iowa",3155070,-2.45808913043478,-0.0779091788909526
"58",2021-07-10,"19",2,2.05739130434783,6.43288892484577,"IA","Iowa",3155070,-4.37549762049794,-0.138681475228694
"59",2021-07-10,"19",3,2.45260869565217,8.28279383148181,"IA","Iowa",3155070,-5.83018513582963,-0.184787822008058
"60",2021-07-10,"19",4,2.18260869565217,9.66165326070651,"IA","Iowa",3155070,-7.47904456505434,-0.237048451066199
"61",2021-07-10,"20",1,4.40260869565217,5.33032826086957,"KS","Kansas",2913314,-0.927719565217392,-0.0318441323255026
"62",2021-07-10,"20",2,13.4491304347826,12.6508700254611,"KS","Kansas",2913314,0.798260409321481,0.0274004247163705
"63",2021-07-10,"20",3,3.17739130434783,10.0943873212211,"KS","Kansas",2913314,-6.91699601687322,-0.237427068172989
"64",2021-07-10,"20",4,13.0834782608696,15.7458111172633,"KS","Kansas",2913314,-2.66233285639378,-0.0913850294336201
"65",2021-07-10,"21",1,5.81739130434782,6.70530217391304,"KY","Kentucky",4467673,-0.88791086956522,-0.0198741239469679
"66",2021-07-10,"21",2,2.43434782608696,9.07339833791816,"KY","Kentucky",4467673,-6.63905051183121,-0.148601979415933
"67",2021-07-10,"21",3,3.15869565217391,11.7969374854836,"KY","Kentucky",4467673,-8.63824183330964,-0.193349912433377
"68",2021-07-10,"21",4,8.42739130434783,14.9697537995163,"KY","Kentucky",4467673,-6.54236249516844,-0.146437809910628
"69",2021-07-10,"22",1,7.27739130434783,12.6505130434783,"LA","Louisiana",4648794,-5.37312173913043,-0.115580981629438
"70",2021-07-10,"22",2,26.214347826087,23.8494534602737,"LA","Louisiana",4648794,2.36489436581322,0.0508711370263603
"71",2021-07-10,"22",3,50.6660869565217,36.0679171419757,"LA","Louisiana",4648794,14.598169814546,0.31402057855319
"72",2021-07-10,"22",4,155.260434782609,110.414961132133,"LA","Louisiana",4648794,44.8454736504756,0.964668979749922
"73",2021-07-10,"23",1,15.5739130434783,11.951752173913,"ME","Maine",1344212,3.62216086956522,0.26946351241956
"74",2021-07-10,"23",2,10.755652173913,6.86875289061586,"ME","Maine",1344212,3.88689928329718,0.289158204457123
"75",2021-07-10,"23",3,0.907826086956522,1.9351818946233,"ME","Maine",1344212,-1.02735580766677,-0.0764281086366417
"76",2021-07-10,"23",4,0.779130434782609,2.33476340659059,"ME","Maine",1344212,-1.55563297180798,-0.115728246125461
"77",2021-07-10,"24",1,2.84782608695652,5.33770652173913,"MD","Maryland",6045680,-2.48988043478261,-0.0411844562527724
"78",2021-07-10,"24",2,8.27608695652174,9.35401294465119,"MD","Maryland",6045680,-1.07792598812945,-0.0178296897640869
"79",2021-07-10,"24",3,3.81565217391304,10.4589805397402,"MD","Maryland",6045680,-6.64332836582713,-0.109885544154291
"80",2021-07-10,"24",4,6.57391304347826,12.9191932952808,"MD","Maryland",6045680,-6.34528025180251,-0.104955608828163
"81",2021-07-10,"25",1,11.2591304347826,9.72621304347826,"MA","Massachusetts",6892503,1.53291739130434,0.0222403587100991
"82",2021-07-10,"25",2,10.4439130434783,13.8861619528369,"MA","Massachusetts",6892503,-3.44224890935867,-0.0499419283438639
"83",2021-07-10,"25",3,13.8917391304348,18.1235208316214,"MA","Massachusetts",6892503,-4.23178170118658,-0.0613968786257559
"84",2021-07-10,"25",4,2.32304347826087,20.5190269359433,"MA","Massachusetts",6892503,-18.1959834576824,-0.26399674338455
"85",2021-07-10,"26",1,6.6104347826087,10.7055565217391,"MI","Michigan",9986857,-4.09512173913043,-0.0410051104079135
"86",2021-07-10,"26",2,5.40130434782609,19.8505919078756,"MI","Michigan",9986857,-14.4492875600495,-0.144683032510123
"87",2021-07-10,"26",3,8.30086956521739,25.1518700209611,"MI","Michigan",9986857,-16.8510004557437,-0.168731768721067
"88",2021-07-10,"26",4,6.8795652173913,29.8998677296556,"MI","Michigan",9986857,-23.0203025122643,-0.230505979131015
"89",2021-07-10,"27",1,2.36130434782609,5.16411956521739,"MN","Minnesota",5639632,-2.8028152173913,-0.0496985480150355
"90",2021-07-10,"27",2,2.30608695652174,7.2435156586131,"MN","Minnesota",5639632,-4.93742870209137,-0.0875487744961261
"91",2021-07-10,"27",3,3.46652173913043,8.98084196220224,"MN","Minnesota",5639632,-5.5143202230718,-0.0977780150029612
"92",2021-07-10,"27",4,6.31217391304348,11.029898513333,"MN","Minnesota",5639632,-4.71772460028947,-0.0836530575095941
"93",2021-07-10,"28",1,2.89304347826087,5.45591956521739,"MS","Mississippi",2976149,-2.56287608695652,-0.0861138366041661
"94",2021-07-10,"28",2,7.70739130434783,9.84401795020124,"MS","Mississippi",2976149,-2.13662664585341,-0.0717916557891898
"95",2021-07-10,"28",3,9.31130434782609,11.7713413555005,"MS","Mississippi",2976149,-2.46003700767442,-0.0826583953852587
"96",2021-07-10,"28",4,38.015652173913,27.8965331123963,"MS","Mississippi",2976149,10.1191190615167,0.340007138806448
"97",2021-07-10,"29",1,15.634347826087,23.2272152173913,"MO","Missouri",6626371,-7.59286739130435,-0.114585606379485
"98",2021-07-10,"29",2,9.59086956521739,22.1586331229182,"MO","Missouri",6626371,-12.5677635577008,-0.189662841964339
"99",2021-07-10,"29",3,21.2104347826087,35.1878580536675,"MO","Missouri",6626371,-13.9774232710588,-0.210936322023907
"100",2021-07-10,"29",4,42.2478260869565,61.2720496553443,"MO","Missouri",6626371,-19.0242235683878,-0.287098678422742
"101",2021-07-10,"30",1,8.07130434782609,6.38352608695652,"MT","Montana",1068778,1.68777826086957,0.157916635715702
"102",2021-07-10,"30",2,1.28173913043478,2.80889448390136,"MT","Montana",1068778,-1.52715535346658,-0.14288798548123
"103",2021-07-10,"30",3,1.91913043478261,3.3027414176533,"MT","Montana",1068778,-1.38361098287069,-0.129457285130373
"104",2021-07-10,"30",4,7.39434782608696,5.73928179905712,"MT","Montana",1068778,1.65506602702984,0.154855922093254
"105",2021-07-10,"31",1,8.32391304347826,5.84406956521739,"NE","Nebraska",1934408,2.47984347826087,0.128196506541581
"106",2021-07-10,"31",2,4.02739130434783,4.38345902082934,"NE","Nebraska",1934408,-0.356067716481516,-0.0184070638914601
"107",2021-07-10,"31",3,5.14260869565217,8.42843157298964,"NE","Nebraska",1934408,-3.28582287733747,-0.169861935917214
"108",2021-07-10,"31",4,4.61086956521739,5.88519033588162,"NE","Nebraska",1934408,-1.27432077066423,-0.0658765250487088
"109",2021-07-10,"32",1,6.07521739130435,8.03170434782609,"NV","Nevada",3080156,-1.95648695652174,-0.0635190865826841
"110",2021-07-10,"32",2,20.1330434782609,19.4456906218845,"NV","Nevada",3080156,0.687352856376403,0.0223155209144083
"111",2021-07-10,"32",3,50.5891304347826,43.2250641485763,"NV","Nevada",3080156,7.36406628620637,0.239080951945498
"112",2021-07-10,"32",4,44.9704347826087,39.5533638344209,"NV","Nevada",3080156,5.41707094818778,0.175870019186943
"113",2021-07-10,"33",1,1.7804347826087,1.67685217391304,"NH","New Hampshire",1359711,0.103582608695653,0.00761798710870568
"114",2021-07-10,"33",2,0.903478260869565,1.75194019629327,"NH","New Hampshire",1359711,-0.848461935423703,-0.0624001670519473
"115",2021-07-10,"33",3,0.671739130434783,2.11445633765033,"NH","New Hampshire",1359711,-1.44271720721555,-0.106104694837032
"116",2021-07-10,"33",4,0.715217391304348,2.37292470976884,"NH","New Hampshire",1359711,-1.65770731846449,-0.121916151186869
"117",2021-07-10,"34",1,3.65782608695652,11.1452,"NJ","New Jersey",8882190,-7.48737391304347,-0.0842964844598401
"118",2021-07-10,"34",2,5.09,19.4699916750472,"NJ","New Jersey",8882190,-14.3799916750472,-0.161896915907531
"119",2021-07-10,"34",3,4.20086956521739,25.7532722620487,"NJ","New Jersey",8882190,-21.5524026968313,-0.242647395482773
"120",2021-07-10,"34",4,10.4313043478261,32.1217222011351,"NJ","New Jersey",8882190,-21.690417853309,-0.244201237006966
"121",2021-07-10,"35",1,10.5295652173913,8.20949130434783,"NM","New Mexico",2096829,2.32007391304348,0.110646786792985
"122",2021-07-10,"35",2,4.86913043478261,5.54243642040768,"NM","New Mexico",2096829,-0.67330598562507,-0.0321106769138099
"123",2021-07-10,"35",3,2.44652173913043,5.89703998831293,"NM","New Mexico",2096829,-3.45051824918249,-0.164558876722064
"124",2021-07-10,"35",4,3.53695652173913,7.01491409048873,"NM","New Mexico",2096829,-3.4779575687496,-0.165867486988667
"125",2021-07-10,"36",1,4.34304347826087,22.1668456521739,"NY","New York",19453561,-17.823802173913,-0.0916223110715462
"126",2021-07-10,"36",2,5.33782608695652,39.0760045830676,"NY","New York",19453561,-33.738178496111,-0.173429319681425
"127",2021-07-10,"36",3,6.95086956521739,55.7011504697004,"NY","New York",19453561,-48.750280904483,-0.250598237024486
"128",2021-07-10,"36",4,31.9417391304348,73.5645115951811,"NY","New York",19453561,-41.6227724647464,-0.213959657384817
"129",2021-07-10,"37",1,3.95217391304348,10.5413217391304,"NC","North Carolina",10488084,-6.58914782608695,-0.0628250863178342
"130",2021-07-10,"37",2,5.9095652173913,13.8938558605151,"NC","North Carolina",10488084,-7.98429064312384,-0.0761272568290246
"131",2021-07-10,"37",3,11.455652173913,17.504071807479,"NC","North Carolina",10488084,-6.04841963356591,-0.0576694430895663
"132",2021-07-10,"37",4,33.5617391304348,27.2577658986155,"NC","North Carolina",10488084,6.30397323181927,0.0601060520855789
"133",2021-07-10,"38",1,1.43608695652174,1.30092826086957,"ND","North Dakota",762062,0.135158695652174,0.0177359185541562
"134",2021-07-10,"38",2,0.703478260869565,2.30525961903097,"ND","North Dakota",762062,-1.60178135816141,-0.210190425209682
"135",2021-07-10,"38",3,0.742608695652174,2.74925158610282,"ND","North Dakota",762062,-2.00664289045064,-0.263317537214904
"136",2021-07-10,"38",4,0.793478260869565,3.03307421224212,"ND","North Dakota",762062,-2.23959595137256,-0.293886317828806
"137",2021-07-10,"39",1,7.72260869565217,8.35286739130435,"OH","Ohio",11689100,-0.630258695652175,-0.00539184963472102
"138",2021-07-10,"39",2,13.7778260869565,14.0441752340567,"OH","Ohio",11689100,-0.266349147100174,-0.00227861124552082
"139",2021-07-10,"39",3,13.4434782608696,17.9088516409077,"OH","Ohio",11689100,-4.46537338003816,-0.0382011735722866
